name,package_name,average_rating,developer,download_url,description,md5,version_name,min_sdk_version
QQ,com.tencent.mobileqq,4.5,深圳市腾讯计算机系统有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/F4D416BD5DFD7D02852A84C490F5213A.apk?fsname=com.tencent.mobileqq_9.1.20.apk,QQ9 轻松做自己  在QQ，轻松社交 - [聊天消息]随时随地好友和群消息； - [语音通话]、[视频聊天]和亲友自在畅聊； - [文件传输]手机电脑多端互传，轻松便捷。  在QQ，轻松生活 - [空间动态]快速获知好友动态，随时分享生活； - [移动支付]话费充值、转账收款、网购一应俱全； - [关怀模式]大字体、大图标，操作更简单，长辈使用更方便。  在QQ，轻松娱乐 - [游戏中心]体验热门手游乐趣，还有更多大神攻略分享； - [个性装扮]各种主题、名片、彩铃、气泡、挂件自由选。  QQ9将功能赋能，打造轻松欢乐的社交、娱乐与生活体验。  -----联系我们----- 如在使用过程中遇到任何问题，请联系我们： - 在线帮助：进入QQ设置 -> 关于QQ -> 帮助与反馈 - 客服热线：4006 700 700（服务时间：8:00 - 23:00）  *加入寻找丢失儿童公益项目，GPS在后台运行可能会影响电池续航时间。,f4d416bd5dfd7d02852a84c490f5213a,9.1.20,23
微信,com.tencent.mm,3.5,深圳市腾讯计算机系统有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/9EDBD0A462FE61708C0712AA4B3AA21E.apk?fsname=com.tencent.mm_8.0.54.apk,你可以通过音视频通话、群聊、朋友圈来和朋友们分享生活，可以通过公众号、视频号获得文章、视频内容，以及通过小程序方便地使用生活服务，还可以开启「关怀模式」，文字与按钮更大更清晰。,9edbd0a462fe61708c0712aa4b3aa21e,8.0.54,23
WiFi万能钥匙,com.snda.wifilocating,2.7,南京尚网网络科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/D690A5085A00B647866101DA38D5D91C.apk?fsname=com.snda.wifilocating_5.1.01.apk,WiFi万能钥匙-通过工信部中国信通院泰尔实验室的移动应用软件安全评估检验，免费连WiFi，省流又安全！  【连接更安全】进一步加强对钓鱼、ARP攻击、DNS篡改等网络攻击行为的实时监测，提供数据加密分级传输、高达90%的恶意攻击拦截等安全防护。  【连接更顺畅】去除干扰广告，保证连接链路无干扰，还用户清爽手机体验！  【连接更省钱】热点推荐更精准，优化信号检测功能，强化网络状态实时提醒，让用户对当前网络状况一目了然。  客服电话：400-035-8000 邮箱：wifikeyservice@ zenmen.com 官网： www.wifi.com,93f5a0bb39f5b46497c863200218bf36,5.1.00,22
腾讯视频,com.tencent.qqlive,3.4,深圳市腾讯计算机系统有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/CE9F855153EE8348BC4A15440B2EF082.apk?fsname=com.tencent.qqlive_9.00.25.29401.apk,【精彩内容，现在就要】 《婚内婚外》夫妻的世界？冯绍峰蔡文静控制拉扯，上演心理悬疑剧 《斗罗大陆之燃魂战》史莱克七怪热血回归，奇爽冒险破茧成王！ 《团建不能停》“650”汪苏泷徐志胜和王星越沈月合拍霸总短剧，孟子义带《九重紫》剧组团建玩情感剧本杀； 《太阳市集》谢娜杨迪打造太阳市集，邀请圈内好友体验电子氧吧做“情绪疗养”，快来和谢娜一起在太阳市集“开摆吧”。  《有歌2024》Ella陈嘉桦挑战摇滚说唱燃炸全场，汪苏泷门尼二搭《哀人》冲顶。 《雾都奇遇夜》喜剧人笑闹地府逆袭暴富 《长生界》高立意神话史诗，氛围感国漫！ 《卡徒》以卡为生，凭智破局 《双城之战2》全球64国家地区登顶最热门  《绝代双骄之天外有天》小鱼儿背水一战机智御敌 《西行纪完结篇》铁拳三藏暴打妖魔鬼怪！ 《错爱双生》洪尧新剧上线！双生姐妹花错位人生遇真爱。 《哑妻》白天娇俏秘书晚上隐婚妻子，霸总车祸后变渣男情虐哑巴新娘！ 《十三邀8》跟随许知远，去接触真实的人、真实的文化，建立起新的认知，找寻这个世界中的“确定性”。 【意见反馈】 如遇问题或者有好的建议，欢迎加入体验群反馈，安卓交流群QQ：527288510 ,3afac91f3bd711b077e5ead01213634b,9.00.20.29375,21
淘宝,com.taobao.taobao,4.5,浙江淘宝网络有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/3698409F7F3F4D5197B4363212249568.apk?fsname=com.taobao.taobao_10.43.2.apk,淘宝是一个好逛、丰富、有趣的消费生活社区，每天有亿万消费者来淘宝“逛街”：发现好物、找到乐趣、表达体验……淘宝能满足人们生活中的各种需求：搜索和浏览商品、加入购物车、下单支付、物流查询、客服交流、发表购物评论、分享优质商品等等，还能通过本地功能，找到附近的生活优惠信息。    淘宝好逛，是因为——    1、在淘宝上，找到丰富的商品：  各种各样的优质好物、神奇商品都在淘宝上。  再小的需求，也能在淘宝上被满足；再小的爱好，也能在淘宝上找到同好。    2、在淘宝上，获得好逛的体验：  淘宝每天都会推荐优质、有趣的商品、服务和优惠信息。  每个人都能在这里找到自己感兴趣的商品，足不出户就能逛到好物。    3、在淘宝上，看到真实的内容：  淘宝直播间里的实物展示、评论区里真实的买家秀，让人买起来更放心。   人们也能在淘宝“逛逛”社区分享自己的购物体验、推荐优质商品。    4、在淘宝上，买到优惠的商品：  每年双11、618等大促活动，商家集体打折，人们能在淘宝上获得真正的实惠。  同时，成为88VIP会员和品牌会员，还能享受更多福利。,3698409f7f3f4d5197b4363212249568,10.43.2,21
腾讯手机管家,com.tencent.qqpimsecure,4.2,深圳市腾讯计算机系统有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/4B151DDE261DC872F1F23CA56F49B518.apk?fsname=com.tencent.qqpimsecure_16.1.19.apk,腾讯手机管家专注手机骚扰拦截，动态守护手机安全，深度清理微信、QQ缓存，让手机体积减半，拒绝卡慢。 ---认真服务--- 【骚扰拦截】智能拦截骚扰电话，过滤诈骗垃圾短信 【清理加速】清理加速能力升级，释放空间告别卡慢 【微信清理】个性清理微信缓存，保证微信安全运行 ---贴心守护--- 【病毒查杀】安全防护全新升级，软件云查风险提醒 【隐私保险箱】个性化守护的您的个人隐私 【安全可靠】病毒、系统、充电检测360度安全护航,4b151dde261dc872f1f23ca56f49b518,16.1.19,21
百度,com.baidu.searchbox,4.6,北京百度网讯科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/88AF98949CCAECBA2F3D556BC06E784D.apk?fsname=com.baidu.searchbox_13.77.0.10.apk,百度App，数亿用户优选的搜索和资讯客户端。更懂中文的语音搜索识别技术。热门新闻、视频抢先看，更有全网正版小说。  【智能小程序】 包含常用小程序，满足娱乐、出行、购物、生活服务各方面需求，免下载提供更方便的体验。 【短视频】 首页底部快速进入视频频道，海量明星娱乐、搞笑段子、经典剧集视频，还能拍小视频记录身边新鲜事，简单操作能拍又能看。 【极速搜索】 强大的搜索引擎，一站搜索全网，搜文字、搜图片，快速识别，帮你找到想要的内容。 【热门资讯】 精选新闻资讯、视频、漫画等优质内容。热门评论置顶显示，查看、互动更方便。 【语音识别】 加入更懂中文的语音识别技术，识别准确率高达98%。支持语音播报资讯，嘈杂环境也可精准识别，彻底解放双手。 【正版小说】 海量正版小说随心看，新增书架列表、阅读进度可以多台设备自动云同步。 【收藏同步】 账号登录状态下收藏内容可自动备份，不同设备随时同步、随心更换。,5c5fa2f2a1593403e1af7b25fd9e1ce1,13.76.0.10,22
腾讯新闻,com.tencent.news,4.3,深圳市腾讯计算机系统有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/D82A12174F2F436BD0DD5F05C52A6456.apk?fsname=com.tencent.news_7.5.70.apk,腾讯新闻是腾讯公司精心打造的7x24小时全方位资讯应用，提供高效、优质的精品资讯服务。在这里，你可以快速获取重大突发热门的新闻资讯，新闻出品的独家内容，同时可参与问答，直播，评论等多种互动，全方位了解新闻动态。  【产品特色】 -独家内容：众多独家优质栏目，持续输出深度精品内容。 《新闻哥》麻辣点评，为网友们提供全年无休的精神食粮。 《谷雨实验室》关注普通人，展示平凡生命的厚度和韧性。 多个工作室的优质出品内容获国家广播电视总局优秀国产纪录片奖项。 -问答：多元视角看新闻，从热门资讯到好问题好回答，从优质创作者到大咖提问。用户可以浏览与参与科技财经、体育娱乐、生活文化等多领域热门问题。 -直播：乐享NBA、中超、F1、男篮世界杯、LPL、KPL等多类重大赛事直播，支持边看直播边聊天，更有神秘娱乐嘉宾惊喜互动。 -订阅：近千家优质媒体，订阅丰富阅读内容。更有精心挑选的会员专栏供用户选择。  【意见反馈】 ﹣软件反馈：设置﹣意见反馈 ﹣官方网站：http://www.qq.com  - 微博：＠腾讯新闻,1a8137d5f58ae290208d1e0de22c587a,7.5.60,21
QQ浏览器,com.tencent.mtt,4.3,腾讯科技（深圳）有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/6022B93BF02D1709DEDB522F2FCF45B6.apk?fsname=com.tencent.mtt_15.7.7.7076.apk,AI助手上线，帮你提炼要点，选词解读、AI问答、随手摘录，还能边看边聊、跨端同步。搜索“QQ浏览器AI助手”开启阅读新模式。  QQ浏览器，四亿人的工作学习神器。提供精准的搜索体验、一键解压缩、文档编辑与格式转换、高清扫描工具。新闻资讯、每日热搜、精彩视频、免费小说，随时随地想看就看，是工作、学习和生活的智能助手！ 【搜 · 全网】 新闻时事，知识百科，精准问答，生活服务，网聚全平台内容一搜便知 【刷 · 资讯】 精选每日热点、本地新闻，权威、专业、快速，足不出户知晓天下大事 优选海量短视频，明星娱乐、搞笑段子、影视综艺、你想刷的应有尽有 【用 · 文件】 办公文档、文件管理、学习资料一站式快速处理；视频处理、格式转化、拍照扫描、文件解压缩等工具一应俱全 【看 · 小说】 海量正版免费网文小说、影视原著、出版书籍每日更新，玄幻修仙、都市爽文、悬疑推理个性化推荐你喜欢的优质好书；签到、阅读，还有腾讯游戏礼包、视频VIP会员,6022b93bf02d1709dedb522f2fcf45b6,15.7.7.7076,21
酷狗音乐,com.kugou.android,4.3,广州酷狗计算机科技有限公司,http://imtt2.dd.qq.com/sjy.00009/sjy.00004/16891/apk/5970C3001475FE7D6A8E990ACDB90A88.apk?fsname=com.kugou.android_20.0.0.apk,酷狗音乐-20周年限定版 就是歌多，音效多，音质好 千万高品质正版曲库随心听  【酷狗音乐核心功能】 1.横屏播放器：随心切换，即刻沉浸，横竖都好听； 2.蝰蛇全景声音质 全新蝰蛇全景声 2.0 音质升级，空间全景声渲染技术，AI还原5.1环绕声，让人身临其境享受音乐； 3. 更简洁的操作界面 界面全新设计，去繁从简，点划之间尽享畅爽体验； 4. 乐库体验大有不同 耳目一新的乐库，新歌速递、权威榜单、精选歌单，你要找的音乐，都在酷狗乐库； 5. 融合酷狗收音机 音乐、情感、新闻……聆听不同的声音，感受不同世界，重拾不经意流去的调频时光； 6. 随身携带的手机KTV 超过300万首海量伴奏，录音棚、KTV、音乐厅、演唱会……多种音效，蝰蛇(VIPER)音频渲染，让你开嗓即成天籁； 7. 海量听书内容 有声小说、相声评书、儿童故事等内容应有尽有，享受美妙听书的乐趣，快来畅听精彩内容； 8. 演艺直播，有声有色 每天都有超过6000位美女主播24小时不间断现场直播，你点她唱，与千万音乐爱好者同时互动，造就网络好声音； 9.个性化换肤 主题色随着背景图而改变，更有多款主题任君选择。,5970c3001475fe7d6a8e990acdb90a88,20.0.0,22
